SSXL-ext Live LOC Report
Generated (UTC): 2025-11-12 00:33:23
Generated (Epoch Seconds): 1762907603
Root Directories: .\rust, .\SSXL_engine_tester
Target Extensions: rs, gd, gdc, toml, md

------------------------------------------------------
 FILE LOC | Relative File Path
------------------------------------------------------
       82 LOC | rust\cargo.toml
       76 LOC | rust\manifest.rs
        8 LOC | rust\manifest_tips.rs
        9 LOC | rust\no_space_batch.rs
       13 LOC | rust\config\engine.toml
       19 LOC | rust\ssxl_animate\Cargo.toml
       57 LOC | rust\ssxl_animate\src\animation_logic.rs
       77 LOC | rust\ssxl_animate\src\conductor.rs
       83 LOC | rust\ssxl_animate\src\lib.rs
       56 LOC | rust\ssxl_animate\src\worker.rs
       13 LOC | rust\ssxl_cache\Cargo.toml
       89 LOC | rust\ssxl_cache\src\lib.rs
       34 LOC | rust\ssxl_cli\Cargo.toml
      176 LOC | rust\ssxl_cli\src\cli_util_bench.rs
      152 LOC | rust\ssxl_cli\src\cli_util_inspect.rs
      125 LOC | rust\ssxl_cli\src\cli_util_menu.rs
      124 LOC | rust\ssxl_cli\src\main.rs
       99 LOC | rust\ssxl_cli\src\actions\benchmarking.rs
      100 LOC | rust\ssxl_cli\src\actions\godot_harness.rs
       68 LOC | rust\ssxl_cli\src\actions\mod.rs
       47 LOC | rust\ssxl_cli\src\actions\testing.rs
       90 LOC | rust\ssxl_cli\src\actions\test_core_suites.rs
      137 LOC | rust\ssxl_cli\src\actions\test_suites.rs
      120 LOC | rust\ssxl_cli\src\scan\file_walker.rs
       13 LOC | rust\ssxl_cli\src\scan\mod.rs
       97 LOC | rust\ssxl_cli\src\scan\report_formatter.rs
       33 LOC | rust\ssxl_cli\src\scan\report_section_formatter.rs
      100 LOC | rust\ssxl_cli\src\scan\report_writer.rs
       15 LOC | rust\ssxl_engine_ffi\Cargo.toml
      130 LOC | rust\ssxl_engine_ffi\src\lib.rs
       24 LOC | rust\ssxl_generate\Cargo.toml
       88 LOC | rust\ssxl_generate\src\batch_processor.rs
       25 LOC | rust\ssxl_generate\src\benchmark_logic.rs
      176 LOC | rust\ssxl_generate\src\cellular_automata_generator.rs
      193 LOC | rust\ssxl_generate\src\conductor.rs
      105 LOC | rust\ssxl_generate\src\conductor_state.rs
       83 LOC | rust\ssxl_generate\src\config_validator.rs
       30 LOC | rust\ssxl_generate\src\generator.rs
       82 LOC | rust\ssxl_generate\src\generator_manager.rs
       71 LOC | rust\ssxl_generate\src\lib.rs
       97 LOC | rust\ssxl_generate\src\perlin_generator.rs
       50 LOC | rust\ssxl_generate\src\runtime_manager.rs
       19 LOC | rust\ssxl_generate\src\sync.rs
      143 LOC | rust\ssxl_generate\src\task_queue.rs
       16 LOC | rust\ssxl_generate\src\ca\mod.rs
       44 LOC | rust\ssxl_generate\src\ca\neighbor_check.rs
       56 LOC | rust\ssxl_generate\src\ca\rule_set.rs
       28 LOC | rust\ssxl_godot\Cargo.toml
      166 LOC | rust\ssxl_godot\src\animation_api.rs
      132 LOC | rust\ssxl_godot\src\api_initializers.rs
      161 LOC | rust\ssxl_godot\src\async_poll.rs
       67 LOC | rust\ssxl_godot\src\build.rs
      116 LOC | rust\ssxl_godot\src\channel_handler.rs
      166 LOC | rust\ssxl_godot\src\chunk_presenter.rs
       91 LOC | rust\ssxl_godot\src\engine_core_logic.rs
       56 LOC | rust\ssxl_godot\src\gde_api_defs.rs
      144 LOC | rust\ssxl_godot\src\generation_api.rs
       56 LOC | rust\ssxl_godot\src\lib.rs
      162 LOC | rust\ssxl_godot\src\ssxl_engine.rs
      108 LOC | rust\ssxl_godot\src\ssxl_oracle.rs
       59 LOC | rust\ssxl_godot\src\ssxl_signals.rs
       50 LOC | rust\ssxl_godot\src\status_reporter.rs
       16 LOC | rust\ssxl_math\Cargo.toml
      118 LOC | rust\ssxl_math\src\coordinate_system.rs
       62 LOC | rust\ssxl_math\src\generation_utils.rs
       97 LOC | rust\ssxl_math\src\hashing.rs
       50 LOC | rust\ssxl_math\src\lib.rs
       58 LOC | rust\ssxl_math\src\primitives.rs
       14 LOC | rust\ssxl_shared\cargo.toml
      162 LOC | rust\ssxl_shared\src\chunk_data.rs
       22 LOC | rust\ssxl_shared\src\config.rs
       60 LOC | rust\ssxl_shared\src\errors.rs
       40 LOC | rust\ssxl_shared\src\generation_message.rs
       64 LOC | rust\ssxl_shared\src\grid_bounds.rs
       72 LOC | rust\ssxl_shared\src\lib.rs
       41 LOC | rust\ssxl_shared\src\math_primitives.rs
       25 LOC | rust\ssxl_shared\src\messages.rs
      123 LOC | rust\ssxl_shared\src\tile_data.rs
      107 LOC | rust\ssxl_shared\src\tile_type.rs
       24 LOC | rust\ssxl_sync\Cargo.toml
       91 LOC | rust\ssxl_sync\src\animation_conductor.rs
       65 LOC | rust\ssxl_sync\src\lib.rs
      149 LOC | rust\ssxl_sync\src\pool_manager.rs
       44 LOC | rust\ssxl_sync\src\primitives.rs
       10 LOC | rust\ssxl_tools\Cargo.toml
      127 LOC | rust\ssxl_tools\src\lib.rs
       21 LOC | SSXL_engine_tester\addons\S2O_godot_plugin\Aetherion.gd
       31 LOC | SSXL_engine_tester\addons\S2O_godot_plugin\S2O_plugin.gd
       21 LOC | SSXL_engine_tester\addons\S2O_godot_plugin\SSXL.gd
      109 LOC | SSXL_engine_tester\root_scripts\cameras.gd
        1 LOC | SSXL_engine_tester\root_scripts\camera_2.gd
      118 LOC | SSXL_engine_tester\root_scripts\controlpanelanimation.gd
      182 LOC | SSXL_engine_tester\root_scripts\controlpanelgenlogic.gd
       68 LOC | SSXL_engine_tester\root_scripts\controlpanelsignalhandler.gd
      121 LOC | SSXL_engine_tester\root_scripts\controlpaneluisetup.gd
      155 LOC | SSXL_engine_tester\root_scripts\controlpanelutility.gd
      133 LOC | SSXL_engine_tester\root_scripts\control_panel.gd
       37 LOC | SSXL_engine_tester\root_scripts\engine_monitor.gd
       22 LOC | SSXL_engine_tester\root_scripts\init.gd
        1 LOC | SSXL_engine_tester\root_scripts\logger.gd
       70 LOC | SSXL_engine_tester\root_scripts\main.gd
      100 LOC | SSXL_engine_tester\root_scripts\main1.gd
       22 LOC | SSXL_engine_tester\root_scripts\root.gd
       10 LOC | SSXL_engine_tester\root_scripts\scenescanner.gd
        5 LOC | SSXL_engine_tester\root_scripts\tester.gd
       23 LOC | SSXL_engine_tester\test_scripts\control_panel.gd
       72 LOC | SSXL_engine_tester\test_scripts\test_ffi_data.gd
------------------------------------------------------
     8069 LOC | TOTAL
------------------------------------------------------
